"subject" "mrt_neutral" "sd_neutral" "alerting_mrt" "orienting_mrt" "sustained_mrt" "tau" "vis_mem_cap" "vis_mem_rate" "vis_mem_enc" "vis_mem_ret" "vis_mem_cons" "ver_mem_cap" "ver_mem_rate" "ver_mem_enc" "ver_mem_ret" "ver_mem_cons" "visuom_fixed_m" "visuom_fixed_sd" "visuom_random_d" "visuom_speed_d" "vis_wm_enc" "vis_wm_ce" "ver_wm_enc" "ver_wm_ce" "exec_mrt" "exec_acc" "motor_response" "age"
"23" 200023 -449.549295774648 -58.8637139579686 32.9319578577699 30.2324994744587 26.0235507246377 -36 -24.4 18.4 -73.9 -8 2 4 6 41 -1 -4 -43 -29 -35 -133.898038883021 88 0.329545454545455 54 -24 -111.866088840737 -8.33333333333333 -269 26
"24" 200024 -522.859154929577 -84.9634031761655 32.8145539906103 43.3262910798122 71.375 -35 -21.1 21.1 -31.8 -4.65028153987 6 6 6 54 1 -3 -44 -29 -32 -128.357453198249 157.5 -0.111111111111111 54 -34 -36.8194444444445 0 -282 25
"25" 200025 -502.722222222222 -83.5600858659309 35.2135129618289 71.4495305164319 52.9583333333333 -43 -5 5 -6 0 10 9 5 62 1 -1 -44 -28 -30 -119.179403098709 96 -0.125 96 -61 -90.5098039215686 -5.55555555555556 -287 23
"26" 200026 -467.140845070423 -77.1607405308921 54.0359937402191 37.6118935837246 26.713768115942 -52 -2 2 -2 0 10 7 6 54 -1 -2 -56 -36 -28 -136.564810876379 147 -0.306122448979592 84 -30 -68.3472222222222 0 -343 19
"27" 200027 -463.736111111111 -53.7291048296014 0.526960784313758 40.9722222222222 18.0833333333333 -134 -6 6 -6 0 10 8 7 61 0 0 -39 -25 -27 -104.896716856267 147 -0.0476190476190476 77 -29 -123.023550724638 -4.16666666666666 -267 20
"28" 200028 -496.728571428571 -77.1659084875712 47.4945674044266 54.4647887323944 -29.6757246376812 -78 -6.5 6.5 -6.5 0 10 7 7 58 0 -1 -44 -30 -29 -130.789123362804 126 0.111111111111111 54 34 -84.9166666666666 -2.77777777777779 -270 18
"29" 200029 -473.898550724638 -105.56683761367 -4.14084507042253 72.8783610755441 46.5652173913044 -87 -25.4 20.2 -59.8 -6.8710678119 1.8 7 7 55 -3 -1 -56 -34 -38 -158.652866464056 71.5 -0.370629370629371 35 -15 -95.577731092437 -2.77777777777777 -318 23
"30" 200030 -415.070422535211 -49.5295940232163 55.7173913043478 22.4016563146998 -4.66666666666669 -32 -16.7 16.7 -27.1 0 10 8 6 62 0 -1 -36 -23 -37 -112.516836805835 140 -0.05 70 -46 -81.3057628524047 -6.94444444444444 -268 24
"31" 200031 -389.859154929577 -43.0585301901121 15.1468253968254 24.8388888888889 13.7481884057971 -29 -2.4 2.4 -3.4 0 10 10 4 66 1 -1 -37 -23 -34 -107.491564852561 130 0.730769230769231 96 0 -48.2524154589372 -4.16666666666666 -259 25
"32" 200032 -446.657142857143 -54.427956828013 32.6014492753623 43.8619047619047 15.3333333333333 -41 -8.5 8.5 -19.2 0 10 7 8 61 0 0 -43 -30 -31 -127.544141876274 104 -0.942307692307692 40 -16 -84.1170634920634 -2.77777777777779 -269 23
